recipe,evaluation,world,status,n,expected_n,complete,missing_seeds,unexpected_seeds,notes
base,historical_headline_20000_20099,in_distribution,available,100,100,True,[],[],"Historical headline; already inspected, not a new blind test."
lrann,historical_headline_20000_20099,in_distribution,missing,0,100,False,"[20000, 20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20013, 20014, 20015, 20016, 20017, 20018, 20019, 20020, 20021, 20022, 20023, 20024, 20025, 20026, 20027, 20028, 20029, 20030, 20031, 20032, 20033, 20034, 20035, 20036, 20037, 20038, 20039, 20040, 20041, 20042, 20043, 20044, 20045, 20046, 20047, 20048, 20049, 20050, 20051, 20052, 20053, 20054, 20055, 20056, 20057, 20058, 20059, 20060, 20061, 20062, 20063, 20064, 20065, 20066, 20067, 20068, 20069, 20070, 20071, 20072, 20073, 20074, 20075, 20076, 20077, 20078, 20079, 20080, 20081, 20082, 20083, 20084, 20085, 20086, 20087, 20088, 20089, 20090, 20091, 20092, 20093, 20094, 20095, 20096, 20097, 20098, 20099]",[],No preserved result in this band; compare recipes in the separate reused21000 band.
narrow,historical_headline_20000_20099,in_distribution,missing,0,100,False,"[20000, 20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20013, 20014, 20015, 20016, 20017, 20018, 20019, 20020, 20021, 20022, 20023, 20024, 20025, 20026, 20027, 20028, 20029, 20030, 20031, 20032, 20033, 20034, 20035, 20036, 20037, 20038, 20039, 20040, 20041, 20042, 20043, 20044, 20045, 20046, 20047, 20048, 20049, 20050, 20051, 20052, 20053, 20054, 20055, 20056, 20057, 20058, 20059, 20060, 20061, 20062, 20063, 20064, 20065, 20066, 20067, 20068, 20069, 20070, 20071, 20072, 20073, 20074, 20075, 20076, 20077, 20078, 20079, 20080, 20081, 20082, 20083, 20084, 20085, 20086, 20087, 20088, 20089, 20090, 20091, 20092, 20093, 20094, 20095, 20096, 20097, 20098, 20099]",[],No preserved result in this band; compare recipes in the separate reused21000 band.
base,reused_comparison_21000_21099,in_distribution,available,100,100,True,[],[],"Previously used comparison band; fixed policies, not fresh blind evaluation."
lrann,reused_comparison_21000_21099,in_distribution,available,100,100,True,[],[],"Previously used comparison band; fixed policies, not fresh blind evaluation."
narrow,reused_comparison_21000_21099,in_distribution,available,100,100,True,[],[],"Previously used comparison band; fixed policies, not fresh blind evaluation."
base,independent_training_seeds,in_distribution,available,4,,True,[],[],Episode CIs cannot replace independent training-seed replication.
lrann,independent_training_seeds,in_distribution,single_seed_only,1,,False,[],[],Episode CIs cannot replace independent training-seed replication.
narrow,independent_training_seeds,in_distribution,single_seed_only,1,,False,[],[],Episode CIs cannot replace independent training-seed replication.
base,historical_ood_30000_30099,P055,available,100,100,True,[],[],Merged Base evidence stores reward rounded to0.1; other metrics unavailable in this table.
narrow,historical_ood_30000_30099,P055,available,100,100,True,[],[],"Preserved NARROW evaluation, already inspected."
